#timestamp tx ty tz qx qy qz qw
1578862362.356647400 -0.960061079 0.046722055 0.082773330 0.531647275 0.662167890 -0.430027343 -0.306531148
1578862363.049167949 -1.180386634 0.044831403 0.109533396 0.549421768 0.675519746 -0.407561557 -0.275140637
1578862363.377694749 -1.285813566 0.021224766 0.112279507 0.549578461 0.667990721 -0.418932538 -0.276129390
1578862363.838752650 -1.490090416 -0.010994979 0.166033995 0.535420012 0.652500656 -0.449254911 -0.292811081
1578862364.135546949 -1.573474207 -0.043120223 0.171388983 0.535374688 0.652501317 -0.448470677 -0.294091868
1578862364.729135900 -1.746487832 -0.102048834 0.185306585 0.539503807 0.650952034 -0.443874158 -0.296939090
1578862365.025930400 -1.813780050 -0.136474847 0.176787196 0.546230037 0.657102115 -0.436997887 -0.280860115
1578862365.716583699 -2.019899549 -0.224574269 0.162986195 0.552701342 0.667235981 -0.421891562 -0.267067187
1578862365.815515199 -2.064364410 -0.247017620 0.154409219 0.556398294 0.671007818 -0.415281467 -0.260212894
1578862366.211240949 -2.211963671 -0.302756622 0.146007585 0.551787785 0.666831756 -0.422830103 -0.268477845
1578862366.375504900 -2.275621977 -0.331481466 0.136863521 0.549020077 0.668415730 -0.420903333 -0.273199105
1578862366.672299049 -2.506642139 -0.406700205 0.131451637 0.554776646 0.674169489 -0.413228480 -0.258767457
1578862367.034425499 -2.666672931 -0.456387521 0.110841025 0.558488213 0.678294347 -0.404103467 -0.254377834
1578862367.232288149 -2.748208616 -0.486358114 0.084235652 0.560233428 0.686736044 -0.391363811 -0.247722584
1578862367.758678200 -2.965061110 -0.541076044 0.040867270 0.564639009 0.697821173 -0.371636057 -0.236886135
1578862367.857609699 -3.108197169 -0.583750539 0.026381687 0.564346107 0.697754457 -0.370579439 -0.239422364
1578862368.318667849 -3.337300092 -0.621879852 0.018561174 0.556922888 0.688584395 -0.384961514 -0.259794267
1578862368.878656799 -3.607395805 -0.661069410 0.013274441 0.550030362 0.679863841 -0.401907732 -0.271517832
1578862369.339715050 -3.796051130 -0.680222192 -0.002781495 0.559863117 0.683620828 -0.389192456 -0.260278863
1578862369.571177299 -3.906755323 -0.692549389 0.001620037 0.554321062 0.680044500 -0.396274495 -0.270618113
1578862369.933303499 -4.126530832 -0.709991087 0.013721383 0.550171191 0.671228911 -0.411677697 -0.278001588
1578862370.329029299 -4.318026070 -0.726539807 0.039395072 0.543738133 0.659079327 -0.432144081 -0.288469716
1578862370.889018949 -4.580324179 -0.765598260 0.061785886 0.522992914 0.673605530 -0.452521206 -0.260688627
1578862371.284744999 -4.738660609 -0.823559249 0.109542559 0.471572090 0.684904660 -0.506664344 -0.227632626
1578862371.613271999 -4.820560744 -0.870861111 0.178576298 0.406396471 0.689311884 -0.574713146 -0.171452133
1578862371.678603899 -4.854738389 -0.880277987 0.179800621 0.392631278 0.696569457 -0.578227286 -0.162126115
1578862371.975398349 -4.877768972 -0.943601398 0.204621577 0.317778985 0.733744665 -0.587018892 -0.126665322
1578862372.074330099 -4.905809678 -0.971374153 0.206255852 0.291373985 0.743556289 -0.590856647 -0.114514929
1578862372.371124399 -4.924035362 -1.033814428 0.228566444 0.212712378 0.763686018 -0.603965341 -0.082237327
1578862372.634319249 -4.945493367 -1.113754084 0.261643142 0.158164238 0.777159916 -0.607638132 -0.042218939
1578862372.931113449 -4.967360476 -1.242485450 0.286077760 0.113176608 0.791045256 -0.601063437 -0.012696543
1578862372.996445799 -4.972748673 -1.268365988 0.282329446 0.104904445 0.793576531 -0.599335432 -0.005327915
1578862373.326839499 -4.966635485 -1.365052451 0.303145194 0.064872271 0.797924907 -0.598774562 0.024009463
1578862373.392171599 -4.981080094 -1.386961090 0.292089934 0.059471597 0.801899719 -0.593577289 0.032954070
1578862373.491103099 -4.986126312 -1.441458241 0.302432012 0.048676359 0.808023073 -0.586068191 0.035403396
1578862373.853229299 -4.955517483 -1.533990063 0.260590475 0.010275054 0.826982499 -0.560008652 0.048833182
1578862374.116424199 -4.936593215 -1.632152610 0.235380299 -0.010714358 0.835603984 -0.546637102 0.053282852
1578862374.215355949 -4.933247269 -1.684711559 0.227888585 -0.015686081 0.843164858 -0.534531910 0.055701045
1578862374.512150199 -4.901824181 -1.860306813 0.212852626 -0.035653315 0.853060207 -0.517336337 0.058139815
1578862374.808944600 -4.884855082 -2.008602516 0.204856710 -0.052250301 0.860415424 -0.503340729 0.060027613
1578862375.137471700 -4.857818300 -2.202866430 0.204453620 -0.061148252 0.862832361 -0.497310771 0.066807231
1578862375.533197549 -4.830470988 -2.412535468 0.202994840 -0.069133877 0.865038463 -0.491973277 0.069937545
1578862375.895324199 -4.796487423 -2.654811637 0.208954507 -0.074380384 0.854292058 -0.509043897 0.074343457
1578862376.059587449 -4.789354418 -2.740216852 0.185992067 -0.078567607 0.851161937 -0.513420184 0.075830092
1578862376.291049999 -4.794776866 -2.933049132 0.183622987 -0.078148491 0.850969446 -0.512631368 0.083384030
1578862376.686775599 -4.776153119 -3.130999085 0.184012726 -0.079318863 0.856274178 -0.503317783 0.084700998
1578862377.080634749 -4.766644898 -3.358070365 0.178680966 -0.080294751 0.863261327 -0.490872122 0.085890594
1578862377.411028699 -4.771132508 -3.385619996 0.153672932 -0.084091670 0.873168221 -0.472179484 0.086904450
1578862377.773155099 -4.750339108 -3.581842642 0.131702642 -0.086915143 0.883714598 -0.451689328 0.086435055
1578862378.168881049 -4.721543932 -3.792931398 0.150238626 -0.085103557 0.870256093 -0.477561359 0.085713855
1578862378.333144449 -4.714685291 -3.909819514 0.152326040 -0.085199896 0.865192069 -0.487552415 0.080475483
1578862378.728869999 -4.694843887 -4.037299381 0.139797933 -0.082865518 0.874131655 -0.471436737 0.082307709
1578862379.057400300 -4.668430504 -4.192227888 0.115712217 -0.086549039 0.880659931 -0.458532731 0.081823500
1578862379.453122900 -4.627897779 -4.370025090 0.104589428 -0.086943733 0.879682732 -0.459808957 0.084704196
1578862379.650985849 -4.604493463 -4.509957849 0.100671671 -0.087655274 0.873548210 -0.471362075 0.083951605
1578862380.013115449 -4.565538085 -4.668718246 0.108196940 -0.083660803 0.864461986 -0.487813589 0.088001407
1578862380.309906749 -4.536873610 -4.797226651 0.110549814 -0.079670588 0.865453195 -0.485791988 0.093002735
1578862380.375239149 -4.532637688 -4.835610081 0.100561231 -0.078427421 0.864176355 -0.487694910 0.095927274
1578862380.836296999 -4.472503909 -5.050385288 0.126814694 -0.086416962 0.849174240 -0.502105676 0.139014775
1578862380.935228400 -4.447840302 -5.148293035 0.118755056 -0.101058649 0.843441327 -0.508243064 0.141714028
1578862381.166690499 -4.407041398 -5.213094365 0.129075931 -0.138536297 0.836693721 -0.505476465 0.158886294
1578862381.495217899 -4.328353381 -5.395739812 0.110081289 -0.217285772 0.829827562 -0.485582620 0.168471449
1578862381.857344199 -4.216652356 -5.502566767 0.126658079 -0.300384934 0.797744444 -0.472892805 0.223036071
1578862382.154138549 -4.156532309 -5.588113603 0.109673419 -0.373938026 0.765909536 -0.454175009 0.259380021
1578862382.417333749 -4.071621044 -5.621744424 0.103030775 -0.440096245 0.734495084 -0.434031380 0.280087537
1578862382.648795749 -4.018902532 -5.632043102 0.138902808 -0.482173688 0.712673617 -0.405486435 0.308521638
1578862383.109853949 -3.961718926 -5.578932948 0.128033649 -0.549837042 0.674682508 -0.374384392 0.319873517
1578862383.208785349 -3.951730103 -5.572898189 0.104427116 -0.560370009 0.665333490 -0.371823570 0.324135825
1578862383.669842999 -3.826033459 -5.564217278 0.105385710 -0.593874196 0.630710943 -0.353704257 0.352718647
1578862384.031969400 -3.748666310 -5.543303118 0.087579319 0.618823354 -0.611604347 0.337403066 -0.359384127
1578862384.295164699 -3.646888681 -5.528381985 0.101344451 0.623863529 -0.604508001 0.328063119 -0.371132004
1578862384.690890400 -3.538327232 -5.496914169 0.092406468 0.636866436 -0.594178190 0.316283435 -0.375923144
1578862384.987684950 -3.450748497 -5.479437709 0.097572535 0.637882721 -0.582765320 0.314231064 -0.393381564
1578862385.316211650 -3.299555666 -5.458123599 0.122566145 0.633328074 -0.567773291 0.324758348 -0.413595281
1578862385.613006049 -3.162246370 -5.449142615 0.123926695 0.643472704 -0.566094817 0.314742310 -0.407942171
1578862385.711937800 -3.123492135 -5.462427188 0.121639105 0.644122693 -0.566729946 0.307388275 -0.411625525
1578862386.074064300 -2.950959679 -5.458017693 0.141630556 0.644287246 -0.557351659 0.308657543 -0.423064527
1578862386.404457700 -2.811208139 -5.456966453 0.147879765 0.647188773 -0.554120350 0.311230527 -0.420990366
1578862386.732985049 -2.647464694 -5.467708397 0.141407724 0.657427204 -0.555460621 0.302125433 -0.409845328
1578862387.029779550 -2.530658611 -5.469513283 0.124282735 0.663908881 -0.555826805 0.291008854 -0.406934156
1578862387.425505250 -2.327107534 -5.472107491 0.153847051 0.657086984 -0.553300737 0.295668753 -0.417941357
1578862387.490837299 -2.284424127 -5.478630992 0.151287024 0.656836095 -0.552159383 0.298794641 -0.417621985
1578862387.886562999 -2.096813498 -5.462041191 0.138693049 0.664197739 -0.559071098 0.284955914 -0.406301610
1578862388.215090299 -1.956155216 -5.447670032 0.127653188 0.669431418 -0.560987795 0.272670693 -0.403490971
1578862388.314021549 -1.875274195 -5.444792304 0.127786334 0.668165400 -0.558335549 0.278241940 -0.405460030
1578862388.676147999 -1.573211285 -5.413226857 0.152881480 0.664011992 -0.558221485 0.281827052 -0.409939460
1578862388.840411500 -1.476063385 -5.407839465 0.149722379 0.661661534 -0.557272872 0.284402480 -0.413238660
1578862389.170805300 -1.323492788 -5.393625354 0.180686798 0.653372800 -0.554301262 0.292190492 -0.424827979
1578862389.532931949 -1.113025193 -5.375586325 0.212162622 0.647806735 -0.551254781 0.298935499 -0.432553081
1578862389.993989599 -0.919473728 -5.368849755 0.239352024 0.639870088 -0.548796587 0.303941758 -0.443855816
1578862390.158253249 -0.823443731 -5.364668985 0.241779552 0.642364567 -0.553456708 0.294651771 -0.440719603
1578862390.488647250 -0.587699851 -5.345642098 0.266235080 0.637517562 -0.557962646 0.285513371 -0.448030311
1578862390.817173949 -0.422808845 -5.327011800 0.264300586 0.654919948 -0.552955179 0.256797592 -0.446514757
1578862391.179300750 -0.356766762 -5.301174764 0.253581149 0.680817079 -0.518462936 0.223851802 -0.466448989
1578862391.278232050 -0.280018133 -5.298358517 0.244575020 0.690006747 -0.502864651 0.219989254 -0.471828952
1578862391.673957799 0.012480005 -5.195275074 0.244611435 0.743168242 -0.423711939 0.201280802 -0.477132263
1578862392.036084299 0.178408784 -5.121531011 0.233160344 0.791929001 -0.331679105 0.168056596 -0.484349471
1578862392.200347900 0.256054353 -5.074903790 0.211320891 0.814729344 -0.284040251 0.155670658 -0.480940617
1578862392.431810450 0.310391821 -5.022915647 0.185460085 0.839296557 -0.222622379 0.132759712 -0.477907339
1578862392.530741499 0.352484458 -4.989113186 0.173098828 0.846322565 -0.201518054 0.118797653 -0.478555855
1578862392.991799650 0.527005056 -4.799675205 0.145666714 0.863112530 -0.113720564 0.065344774 -0.487682739
1578862393.057131699 0.538530914 -4.781632429 0.135003895 0.865290044 -0.102808405 0.060834207 -0.486829303
1578862393.387525300 0.571254206 -4.649719168 0.115410265 0.878822176 -0.059527743 0.032701102 -0.472290874
1578862393.551788699 0.582863481 -4.578303467 0.091168963 0.887005688 -0.037953488 0.033651963 -0.458964037
1578862393.913915300 0.606844868 -4.416660494 0.080240549 0.885388808 -0.006699778 0.004794780 -0.464778207
1578862394.078179050 0.608129775 -4.331745754 0.057657545 0.884136499 0.007934992 -0.001746789 -0.467158041
1578862394.408572549 0.603525645 -4.154719373 0.022937214 0.893106602 0.027589615 -0.018097271 -0.448633369
